pathogen,antibiotic,resistance_level,collection_date,location
Campylobacter,Amoxicillin,Low,2021-11-29,Garrettport
Salmonella,Chloramphenicol,High,2022-08-14,West Chadview
Salmonella,Azithromycin,Medium,2021-06-03,Cisneroston
E. coli,Levofloxacin,Medium,2020-08-26,Lake Zachary
E. coli,Trimethoprim,High,2021-06-27,West Dylan
E. coli,Erythromycin,Low,2023-01-16,Kleinshire
Salmonella,Gentamicin,Medium,2021-10-14,East Antoniomouth
E. coli,Azithromycin,Low,2022-06-25,New Christopher
Campylobacter,Chloramphenicol,Low,2022-01-31,Lake Michaelfort
Campylobacter,Levofloxacin,Medium,2023-08-17,Griffinfurt
Campylobacter,Erythromycin,High,2023-01-06,North Molly
Campylobacter,Norfloxacin,Low,2022-08-16,Kaitlynmouth
Salmonella,Amoxicillin,High,2023-09-07,Jaredside
E. coli,Levofloxacin,High,2023-10-22,New Shellymouth
Salmonella,Erythromycin,Medium,2022-01-01,South Marilynchester
Campylobacter,Azithromycin,Medium,2022-04-18,Heatherton
Salmonella,Trimethoprim,High,2024-08-07,North Jasonborough
Campylobacter,Amoxicillin,Low,2022-03-15,North Jeff
E. coli,Erythromycin,High,2024-02-14,Andrewmouth
Campylobacter,Azithromycin,High,2022-05-04,North Victorland
Salmonella,Chloramphenicol,Low,2020-11-22,West Lynn
E. coli,Erythromycin,Low,2020-10-11,Lake Donaldview
Campylobacter,Erythromycin,Low,2020-03-03,North Matthewburgh
E. coli,Levofloxacin,Medium,2023-08-01,Lake Johnton
Campylobacter,Chloramphenicol,Low,2020-01-27,South Paul
E. coli,Gentamicin,High,2022-01-09,West Allisonland
Salmonella,Amoxicillin,High,2023-02-22,Annburgh
E. coli,Nitrofurantoin,High,2024-09-03,Port Williamside
Campylobacter,Doxycycline,High,2021-07-29,East Chris
Campylobacter,Trimethoprim,Low,2023-04-27,New Erinburgh
Campylobacter,Amoxicillin,Low,2020-10-03,New Jack
Salmonella,Erythromycin,Medium,2020-07-03,Robinstad
E. coli,Doxycycline,Medium,2021-10-27,East Rachel
Salmonella,Trimethoprim,Low,2020-05-06,North Sara
Salmonella,Erythromycin,Low,2020-07-25,Lake Gregory
Campylobacter,Ciprofloxacin,High,2024-01-25,East Melinda
Salmonella,Levofloxacin,Low,2023-10-12,South Nicole
Campylobacter,Erythromycin,Low,2024-06-01,Martinezborough
E. coli,Chloramphenicol,Low,2024-03-24,West Ashley
E. coli,Doxycycline,Medium,2023-10-17,West Stephanieborough
E. coli,Norfloxacin,High,2020-03-31,West Misty
E. coli,Levofloxacin,High,2020-09-08,South John
E. coli,Chloramphenicol,Low,2021-10-25,New Donna
E. coli,Doxycycline,Low,2023-07-02,Larsenburgh
Salmonella,Levofloxacin,Low,2023-02-05,South Amy
E. coli,Gentamicin,Low,2024-09-14,Martinville
Salmonella,Azithromycin,High,2021-06-18,North Katherineview
Campylobacter,Trimethoprim,High,2023-04-09,Lake Laurenview
Salmonella,Ciprofloxacin,Medium,2024-10-16,Joshuastad
Salmonella,Chloramphenicol,High,2021-03-08,Shermanton
Campylobacter,Erythromycin,High,2021-05-11,North Leonardfurt
Salmonella,Trimethoprim,Low,2021-08-29,East Coreyhaven
E. coli,Ciprofloxacin,Low,2020-01-14,North Meganborough
Campylobacter,Doxycycline,Low,2020-01-26,Sandrabury
E. coli,Gentamicin,High,2022-09-08,Lake Felicialand
Salmonella,Levofloxacin,Medium,2021-06-12,East Marissaview
Campylobacter,Chloramphenicol,Medium,2023-07-08,Kennethmouth
E. coli,Ceftriaxone,Low,2022-04-21,Dustinhaven
E. coli,Norfloxacin,Low,2022-12-12,North Kevinland
E. coli,Norfloxacin,Low,2020-11-02,Lindaview
E. coli,Levofloxacin,High,2021-07-27,Lake Edgarbury
Salmonella,Doxycycline,High,2023-11-30,North Thomasfurt
Campylobacter,Amoxicillin,Medium,2023-08-18,Jessicamouth
E. coli,Trimethoprim,Low,2022-06-09,Tylermouth
E. coli,Nitrofurantoin,Medium,2024-07-25,South Lisa
E. coli,Trimethoprim,Low,2020-09-03,West Joeltown
E. coli,Ciprofloxacin,Low,2024-06-18,Daltonfurt
Campylobacter,Ceftriaxone,Medium,2023-09-03,Butlerborough
E. coli,Gentamicin,Low,2024-05-26,Bennettshire
Salmonella,Nitrofurantoin,High,2020-03-13,Griffinbury
E. coli,Ciprofloxacin,High,2023-10-31,Kimberlymouth
E. coli,Doxycycline,High,2020-03-20,South Mariaton
Campylobacter,Erythromycin,Low,2022-05-12,South Aaron
E. coli,Erythromycin,Low,2022-06-17,Lake James
Salmonella,Amoxicillin,Medium,2023-08-12,Lake Patriciaburgh
Campylobacter,Erythromycin,High,2021-05-12,Jonathanberg
Salmonella,Gentamicin,High,2020-12-07,Barnesview
Campylobacter,Norfloxacin,Low,2020-08-30,Jonathanfurt
Campylobacter,Gentamicin,Low,2020-08-25,Jasonfort
Campylobacter,Ciprofloxacin,Medium,2024-05-24,Shawnstad
Campylobacter,Azithromycin,High,2022-11-29,Stephanieburgh
Salmonella,Nitrofurantoin,Medium,2022-03-20,South Christopher
Salmonella,Nitrofurantoin,High,2022-02-01,South Deanna
E. coli,Norfloxacin,High,2021-05-28,South Laurabury
Campylobacter,Gentamicin,Low,2023-07-09,Emilystad
Salmonella,Gentamicin,Medium,2020-06-01,North Jenniferburgh
Salmonella,Norfloxacin,Medium,2022-02-24,East Michaelport
Campylobacter,Norfloxacin,High,2022-08-21,Henrystad
Salmonella,Nitrofurantoin,Medium,2023-10-04,Richardchester
E. coli,Amoxicillin,High,2023-02-09,East Jennifer
E. coli,Doxycycline,High,2022-04-30,Castroberg
Campylobacter,Norfloxacin,High,2020-11-12,East Robert
E. coli,Chloramphenicol,High,2022-12-19,Gomezberg
Campylobacter,Norfloxacin,Low,2022-06-13,New Elizabethfurt
Salmonella,Levofloxacin,Low,2021-12-05,Vasquezmouth
E. coli,Ceftriaxone,High,2022-03-07,Joelberg
Salmonella,Nitrofurantoin,Medium,2020-05-23,South Angela
Salmonella,Ceftriaxone,High,2024-06-02,Petersonland
Campylobacter,Doxycycline,High,2023-01-25,New Amyview
Salmonella,Nitrofurantoin,Medium,2023-04-01,New Alexandramouth
Salmonella,Levofloxacin,Medium,2020-10-08,Jonesborough
Salmonella,Doxycycline,High,2023-12-24,Hineshaven
Salmonella,Ciprofloxacin,Low,2021-01-04,Guerrahaven
Salmonella,Norfloxacin,Low,2023-03-04,Port Nicoleberg
Campylobacter,Nitrofurantoin,Low,2022-11-28,New Bethside
Salmonella,Gentamicin,High,2022-02-04,Leslieberg
Campylobacter,Azithromycin,Medium,2022-12-19,Stevenstown
E. coli,Chloramphenicol,Medium,2020-10-05,East Samuelstad
E. coli,Doxycycline,Low,2021-01-20,East Michael
Salmonella,Gentamicin,Medium,2022-07-24,West Diane
Campylobacter,Amoxicillin,Medium,2023-12-01,Englishton
Campylobacter,Amoxicillin,Low,2022-06-07,New Kim
E. coli,Levofloxacin,Low,2022-07-01,Lake Leslie
E. coli,Norfloxacin,Medium,2024-10-31,Lake Joseph
Campylobacter,Ciprofloxacin,Low,2024-08-29,West David
E. coli,Erythromycin,Medium,2022-08-14,Port David
E. coli,Gentamicin,Low,2020-11-26,Cohenport
E. coli,Trimethoprim,Low,2023-09-24,Lake Matthew
Salmonella,Nitrofurantoin,Low,2024-10-10,Rodriguezmouth
E. coli,Norfloxacin,High,2022-06-23,Samuelton
Campylobacter,Norfloxacin,Medium,2020-01-12,Davisview
Campylobacter,Trimethoprim,High,2022-12-07,North Joshua
Salmonella,Amoxicillin,High,2022-04-25,Wrightchester
Campylobacter,Erythromycin,Medium,2021-10-15,Stephanieside
Salmonella,Azithromycin,High,2020-01-15,Hullshire
Campylobacter,Norfloxacin,Medium,2023-01-28,West Lisamouth
Campylobacter,Erythromycin,Low,2024-01-08,Port Megan
E. coli,Gentamicin,Low,2021-11-24,Lake Dannystad
E. coli,Doxycycline,High,2022-02-24,North Benjaminbury
Salmonella,Norfloxacin,Medium,2020-07-08,North Jodihaven
Campylobacter,Nitrofurantoin,High,2021-07-10,East Reginald
Campylobacter,Doxycycline,Medium,2022-12-23,South Chasefort
E. coli,Doxycycline,Low,2024-02-07,Middletonstad
E. coli,Erythromycin,High,2021-10-28,Katherineport
E. coli,Erythromycin,Medium,2022-10-23,Port Kevinville
E. coli,Gentamicin,Medium,2023-02-19,Racheltown
E. coli,Chloramphenicol,Low,2022-04-27,Daymouth
E. coli,Ciprofloxacin,Medium,2020-03-10,Jaimechester
E. coli,Doxycycline,High,2020-07-01,Robertsonstad
Salmonella,Erythromycin,Low,2022-05-12,Robertsland
Salmonella,Erythromycin,High,2022-04-21,North Elizabeth
Campylobacter,Amoxicillin,Low,2020-12-23,North William
Salmonella,Levofloxacin,Low,2022-08-10,Stevenchester
E. coli,Chloramphenicol,Medium,2024-03-20,North Tammieside
Salmonella,Doxycycline,Medium,2023-04-30,East Jamie
Campylobacter,Norfloxacin,High,2023-06-03,Davidhaven
Salmonella,Ceftriaxone,Medium,2020-04-26,North Kylefurt
E. coli,Nitrofurantoin,High,2021-03-31,South Anthony
Salmonella,Azithromycin,High,2021-05-19,Jenniferburgh
Salmonella,Gentamicin,High,2021-02-14,Lake Rachel
Salmonella,Ceftriaxone,Low,2023-02-11,Fordport
Salmonella,Doxycycline,Medium,2023-05-03,East Robert
E. coli,Levofloxacin,High,2020-05-06,South Kevin
Salmonella,Chloramphenicol,Low,2021-04-25,Terryside
E. coli,Erythromycin,High,2020-08-12,East Robertbury
Salmonella,Ceftriaxone,Low,2020-04-18,Michellemouth
Salmonella,Nitrofurantoin,High,2023-02-16,North Tara
E. coli,Amoxicillin,High,2021-07-29,Travisberg
Salmonella,Ceftriaxone,High,2024-09-23,Jonathanborough
Salmonella,Amoxicillin,High,2020-09-12,New Shannonhaven
Campylobacter,Nitrofurantoin,High,2022-01-28,Watkinston
E. coli,Norfloxacin,Medium,2020-05-26,Christinaton
E. coli,Trimethoprim,Low,2022-02-17,Hernandezmouth
Salmonella,Amoxicillin,Medium,2020-06-17,North Michael
Salmonella,Ciprofloxacin,Low,2020-12-26,North Anitatown
Salmonella,Chloramphenicol,High,2023-09-20,Markmouth
E. coli,Levofloxacin,Low,2023-07-21,West Deborah
E. coli,Doxycycline,Low,2021-09-25,Lake Tara
E. coli,Levofloxacin,Medium,2021-12-23,Saraville
E. coli,Erythromycin,High,2020-01-27,Cherrytown
E. coli,Azithromycin,High,2021-05-13,Sarahtown
E. coli,Levofloxacin,Low,2020-03-25,Clinestad
E. coli,Nitrofurantoin,Medium,2022-06-01,Port Michael
Salmonella,Levofloxacin,Medium,2024-07-07,Jacksonfurt
Campylobacter,Azithromycin,Low,2021-03-07,Walkerport
E. coli,Nitrofurantoin,Low,2023-06-25,North Raymondmouth
E. coli,Erythromycin,Low,2023-10-24,North Jacob
E. coli,Nitrofurantoin,High,2023-11-22,East Daniel
E. coli,Azithromycin,Low,2020-09-27,Popestad
Salmonella,Chloramphenicol,High,2023-07-03,Valdezview
Campylobacter,Doxycycline,Low,2021-05-09,Port Williamtown
Salmonella,Gentamicin,Low,2021-02-01,Chenmouth
Campylobacter,Ceftriaxone,Low,2020-09-05,Mooreberg
Salmonella,Ciprofloxacin,Low,2024-09-15,Houstonland
Salmonella,Ceftriaxone,High,2020-01-25,Michaelstad
Salmonella,Trimethoprim,High,2023-04-24,Brandonchester
E. coli,Trimethoprim,Low,2024-08-18,New Michael
E. coli,Doxycycline,High,2022-02-15,Cindystad
Salmonella,Levofloxacin,Low,2021-07-24,North Jerry
E. coli,Norfloxacin,Low,2023-10-23,West Steven
Salmonella,Gentamicin,Medium,2020-03-01,Joannaport
E. coli,Azithromycin,Low,2022-06-25,Lake Kevinstad
Salmonella,Ciprofloxacin,Medium,2020-05-03,Mccoyfort
E. coli,Ceftriaxone,High,2024-07-08,Tateton
E. coli,Doxycycline,High,2021-04-29,New William
E. coli,Doxycycline,High,2021-08-07,Matthewside
E. coli,Amoxicillin,Low,2023-10-16,West Jason
Salmonella,Nitrofurantoin,High,2022-10-07,Port Haroldside
Campylobacter,Ciprofloxacin,Medium,2023-08-11,Richardville
Salmonella,Gentamicin,Low,2024-04-09,Port Penny
Salmonella,Chloramphenicol,Medium,2022-10-14,Hickmanshire
E. coli,Gentamicin,Low,2020-09-21,East Lauraberg
Salmonella,Amoxicillin,Medium,2021-09-01,Herrerafurt
Salmonella,Trimethoprim,High,2021-01-12,Jeffreyville
E. coli,Ceftriaxone,Low,2023-03-02,North Kathy
Salmonella,Chloramphenicol,Low,2022-08-21,East Jeffrey
E. coli,Trimethoprim,High,2021-04-01,Port Anthonymouth
E. coli,Nitrofurantoin,High,2023-06-11,Paynehaven
Campylobacter,Ciprofloxacin,Medium,2020-08-26,Garciaport
Salmonella,Doxycycline,High,2022-11-01,Bentleybury
Campylobacter,Nitrofurantoin,Medium,2020-11-04,Grantport
E. coli,Ceftriaxone,Medium,2021-05-11,West Joshua
Salmonella,Gentamicin,Low,2023-04-06,Patriciachester
Campylobacter,Ciprofloxacin,High,2024-10-28,Spencerhaven
Salmonella,Ceftriaxone,Low,2021-10-10,New Madisonville
Salmonella,Ciprofloxacin,Low,2024-08-19,Maureenborough
Campylobacter,Trimethoprim,Low,2021-09-27,South Davidport
Campylobacter,Doxycycline,High,2023-02-28,Valentinehaven
Salmonella,Chloramphenicol,High,2021-04-12,Michaelfort
Campylobacter,Gentamicin,Medium,2021-10-07,New Jamesmouth
Salmonella,Ciprofloxacin,High,2023-05-15,Davishaven
Campylobacter,Erythromycin,Low,2020-09-01,Patrickborough
Salmonella,Ceftriaxone,High,2023-08-21,Port Kelseyville
E. coli,Nitrofurantoin,Medium,2021-07-24,East Elizabeth
E. coli,Ciprofloxacin,High,2021-07-20,Lopeztown
E. coli,Levofloxacin,Medium,2022-03-01,North Susan
E. coli,Chloramphenicol,Medium,2020-08-11,Lake Paulland
Campylobacter,Ceftriaxone,Low,2021-06-17,Donaldhaven
Salmonella,Gentamicin,High,2020-02-21,Ashleychester
E. coli,Gentamicin,Medium,2023-02-28,Lisaburgh
Campylobacter,Trimethoprim,Low,2022-03-19,Rachelport
Campylobacter,Nitrofurantoin,Low,2022-05-05,East Joyport
Salmonella,Ceftriaxone,High,2020-12-21,North Christopherfurt
E. coli,Doxycycline,Low,2020-07-13,Barnesmouth
Campylobacter,Doxycycline,Low,2021-03-11,South Robertbury
Campylobacter,Gentamicin,Medium,2022-06-14,Huntview
Campylobacter,Levofloxacin,Medium,2022-01-07,New Sethfort
Campylobacter,Norfloxacin,Medium,2022-09-21,Brianville
E. coli,Azithromycin,High,2024-03-06,Port Melissaborough
Salmonella,Levofloxacin,Medium,2020-09-08,Hallton
Campylobacter,Nitrofurantoin,Medium,2020-02-11,Richardland
Salmonella,Erythromycin,High,2022-09-12,Robertview
Salmonella,Amoxicillin,High,2023-04-08,Martinmouth
Salmonella,Amoxicillin,High,2022-02-02,Brandonberg
Salmonella,Doxycycline,Medium,2021-09-12,Swansonfurt
Campylobacter,Levofloxacin,High,2021-04-09,Deleonburgh
Campylobacter,Gentamicin,Low,2022-03-05,Camposstad
E. coli,Nitrofurantoin,Low,2021-02-09,Glennhaven
E. coli,Chloramphenicol,High,2022-11-06,New Kristinview
Campylobacter,Ceftriaxone,High,2022-04-29,Jeremyburgh
Campylobacter,Nitrofurantoin,High,2021-12-09,South Michael
Salmonella,Levofloxacin,Medium,2020-04-07,East Megan
Campylobacter,Ceftriaxone,High,2021-07-01,Port Shane
Salmonella,Gentamicin,High,2022-03-05,Navarroshire
Campylobacter,Norfloxacin,Low,2023-07-12,Ellisburgh
E. coli,Trimethoprim,High,2023-06-02,Lake Michael
Salmonella,Gentamicin,Low,2023-09-01,East Katherine
Salmonella,Ceftriaxone,Medium,2023-10-24,Robertton
E. coli,Erythromycin,High,2021-05-19,Lake Davidside
E. coli,Levofloxacin,Medium,2021-11-05,East Victoria
Campylobacter,Trimethoprim,Medium,2023-12-19,West Betty
Salmonella,Norfloxacin,Medium,2024-03-07,South Janefort
Salmonella,Erythromycin,High,2020-12-08,East Kiaraville
Campylobacter,Nitrofurantoin,Medium,2022-04-27,Mendezhaven
Campylobacter,Norfloxacin,Low,2023-10-13,Bradyborough
Salmonella,Doxycycline,High,2020-09-13,Port Steven
E. coli,Ceftriaxone,Medium,2021-08-31,New Nancy
E. coli,Azithromycin,Medium,2022-04-10,Port Kyle
E. coli,Chloramphenicol,High,2020-04-29,Snyderland
Salmonella,Gentamicin,High,2021-04-13,Wongport
Campylobacter,Azithromycin,Medium,2021-07-06,New Michellemouth
Campylobacter,Ceftriaxone,Low,2022-12-10,West Jessicatown
Salmonella,Norfloxacin,High,2021-11-05,Wallland
Salmonella,Norfloxacin,Medium,2022-05-21,Lake Kimberlyhaven
E. coli,Nitrofurantoin,Low,2022-11-15,Lake Sydneyville
Salmonella,Doxycycline,Low,2024-06-16,West Josephbury
Salmonella,Nitrofurantoin,Medium,2022-11-23,Booneburgh
Salmonella,Norfloxacin,Low,2023-11-20,Kelseystad
Salmonella,Doxycycline,High,2020-02-17,Brianmouth
Salmonella,Norfloxacin,Medium,2023-02-15,East Sarahmouth
E. coli,Chloramphenicol,Medium,2020-03-24,Claudiaview
E. coli,Levofloxacin,Medium,2020-07-11,Dianeside
E. coli,Norfloxacin,High,2021-06-23,Port Travisberg
E. coli,Gentamicin,Medium,2022-11-17,Davidtown
Campylobacter,Erythromycin,High,2023-03-15,Rickybury
Campylobacter,Azithromycin,High,2022-03-03,Simmonsmouth
Campylobacter,Norfloxacin,Low,2022-08-29,West Breanna
Campylobacter,Azithromycin,High,2021-03-05,Martinchester
E. coli,Chloramphenicol,Low,2020-08-22,Alyssamouth
Salmonella,Azithromycin,High,2024-09-28,Port Jonathantown
Salmonella,Erythromycin,Medium,2023-03-03,North Sharonport
E. coli,Azithromycin,Medium,2022-05-05,Johnborough
Campylobacter,Erythromycin,Medium,2020-12-31,Josephport
Salmonella,Levofloxacin,High,2024-07-27,Angelborough
Campylobacter,Chloramphenicol,Low,2023-07-17,Jasonshire
Campylobacter,Gentamicin,High,2023-10-28,North Peterhaven
Salmonella,Levofloxacin,Medium,2023-11-23,North Courtney
Campylobacter,Trimethoprim,Medium,2023-11-03,North Julie
E. coli,Gentamicin,High,2020-04-30,Wallaceshire
Salmonella,Gentamicin,Low,2023-06-11,Farmerchester
Campylobacter,Gentamicin,Medium,2021-04-02,Brianbury
Salmonella,Chloramphenicol,High,2020-12-03,Lake Marymouth
Salmonella,Erythromycin,Medium,2022-05-08,Davisland
Campylobacter,Trimethoprim,Low,2022-09-17,West Billy
E. coli,Levofloxacin,High,2022-02-10,North Lauraport
E. coli,Erythromycin,High,2020-07-10,Rodriguezbury
E. coli,Amoxicillin,Low,2021-10-11,Goldenchester
Salmonella,Ciprofloxacin,Low,2023-12-18,Kathyfurt
Campylobacter,Levofloxacin,Low,2023-07-29,East Ronaldland
Salmonella,Ciprofloxacin,Low,2024-01-30,Eileenside
E. coli,Levofloxacin,High,2021-09-03,Gonzalezchester
Campylobacter,Gentamicin,High,2023-02-21,West Stephen
E. coli,Levofloxacin,Medium,2021-09-06,Lake Michael
E. coli,Erythromycin,Low,2023-05-27,Johnsonport
E. coli,Gentamicin,Low,2023-10-26,Flowersside
Salmonella,Nitrofurantoin,Low,2021-07-06,Jaimeland
Salmonella,Azithromycin,Low,2023-02-20,Porterchester
Campylobacter,Ciprofloxacin,Low,2024-07-12,Cherylfort
Campylobacter,Levofloxacin,Low,2021-10-14,Brooksstad
Salmonella,Norfloxacin,High,2023-01-23,Bettyberg
E. coli,Levofloxacin,High,2020-10-11,North Kevinfort
Salmonella,Doxycycline,High,2022-08-22,Jennifermouth
Salmonella,Gentamicin,High,2023-11-21,North Jonathanland
E. coli,Azithromycin,Medium,2024-03-20,Valenciafurt
E. coli,Chloramphenicol,Medium,2021-08-03,Leehaven
Salmonella,Doxycycline,Low,2021-08-09,East Nicoleberg
Campylobacter,Trimethoprim,Low,2022-04-13,Brentland
E. coli,Norfloxacin,High,2021-06-14,Port Barbarafort
Salmonella,Nitrofurantoin,Low,2022-08-31,Martinhaven
Salmonella,Levofloxacin,Low,2022-10-31,Port Susanport
E. coli,Ceftriaxone,Medium,2022-09-26,Lake Nicole
Salmonella,Amoxicillin,High,2020-05-06,Lake Lauren
Salmonella,Amoxicillin,Medium,2024-05-30,North Margaret
E. coli,Gentamicin,Low,2022-07-22,East Brandyhaven
Campylobacter,Chloramphenicol,Low,2023-03-24,Amyview
Campylobacter,Gentamicin,Low,2020-08-04,North Walterland
Campylobacter,Doxycycline,Medium,2021-02-07,Lake Joann
